# Generated by SVM Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	kernel_type	C	degree	AUC
71.0	1.638959619837E12	dot	63.095734448019314	0.06309573444801932	0.7089160401002507
92.0	1.638959626143E12	radial	63.095734448019314	0.06309573444801932	0.7913812308549151
80.0	1.638959628695E12	dot	3.9810717055349727	0.0039810717055349725	0.7681690336953496
94.0	1.638959633452E12	radial	3.9810717055349727	0.0039810717055349725	0.7484711779448623
95.0	1.63895965878E12	polynomial	3.9810717055349727	0.0039810717055349725	0.7398189919242552
75.0	1.638959669609E12	polynomial	1000.0	0.0039810717055349725	0.6657010582010583
82.0	1.638959677281E12	polynomial	63.095734448019314	0.0039810717055349725	0.7143615984405457
88.0	1.638959680566E12	polynomial	63.095734448019314	0.25118864315095807	0.7291200222779172
79.0	1.638959682128E12	dot	251.1886431509581	0.001	0.6534635199108884
91.0	1.638959682693E12	polynomial	63.095734448019314	0.001	0.7091938178780286
78.0	1.638959683221E12	polynomial	1000.0	0.25118864315095807	0.6884649122807018
100.0	1.638959683968E12	radial	251.1886431509581	0.001	0.7598586744639377
97.0	1.638959685317E12	dot	1.0	0.0039810717055349725	0.7532365636313006
104.0	1.638959687118E12	radial	1.0	0.0039810717055349725	0.7299443052074631
93.0	1.638959693554E12	polynomial	63.095734448019314	0.06309573444801932	0.7328467000835424
96.0	1.638959698388E12	dot	15.848931924611136	0.0039810717055349725	0.6910568086883877
107.0	1.63895970014E12	radial	15.848931924611136	0.0039810717055349725	0.7319103313840156
102.0	1.638959701911E12	dot	1.0	0.25118864315095807	0.7599387357282094
109.0	1.63895970381E12	radial	1.0	0.25118864315095807	0.7427993595098858
86.0	1.638959704705E12	dot	251.1886431509581	0.001	0.619380395433027
85.0	1.638959705373E12	polynomial	251.1886431509581	0.06309573444801932	0.639720829852409
111.0	1.638959706435E12	radial	251.1886431509581	0.001	0.7276489835700363
105.0	1.638959707492E12	polynomial	1.0	0.0039810717055349725	0.6840100250626567
90.0	1.638959709019E12	polynomial	251.1886431509581	0.001	0.651998746867168
110.0	1.638959720512E12	polynomial	1.0	0.25118864315095807	0.7465879977722084
114.0	1.638959736878E12	dot	3.9810717055349727	0.0039810717055349725	0.739283625730994
108.0	1.638959738936E12	polynomial	15.848931924611136	0.0039810717055349725	0.7520258980785297
117.0	1.638959739106E12	radial	3.9810717055349727	0.0039810717055349725	0.7552840434419382
116.0	1.638959749105E12	dot	3.9810717055349727	0.25118864315095807	0.7645795043163464
120.0	1.638959750793E12	radial	3.9810717055349727	0.25118864315095807	0.7176740462266777
119.0	1.638959763044E12	polynomial	3.9810717055349727	0.0039810717055349725	0.7702561960456697
98.0	1.63895976932E12	dot	251.1886431509581	0.0039810717055349725	0.657374686716792
123.0	1.638959771068E12	radial	251.1886431509581	0.0039810717055349725	0.772847396268449
99.0	1.638959772444E12	dot	251.1886431509581	0.25118864315095807	0.683004037872459
125.0	1.638959774315E12	radial	251.1886431509581	0.25118864315095807	0.7105458089668616
101.0	1.638959774932E12	dot	251.1886431509581	0.001	0.627702589807853
121.0	1.638959776579E12	polynomial	3.9810717055349727	0.25118864315095807	0.7443379281537176
103.0	1.638959776828E12	polynomial	251.1886431509581	0.001	0.6376677805625175
127.0	1.638959780921E12	radial	251.1886431509581	0.001	0.7316715399610138
106.0	1.638959783323E12	dot	251.1886431509581	0.06309573444801932	0.6609607351712615
131.0	1.638959789038E12	radial	251.1886431509581	0.06309573444801932	0.793519910888332
112.0	1.638959793975E12	dot	1000.0	0.06309573444801932	0.5834099136730716
133.0	1.638959795777E12	radial	1000.0	0.06309573444801932	0.6700758841548315
113.0	1.638959796048E12	polynomial	251.1886431509581	0.001	0.6728244221665276
122.0	1.63895979845E12	dot	15.848931924611136	0.0039810717055349725	0.632644806460596
115.0	1.638959798497E12	dot	1000.0	0.001	0.7160157337788917
137.0	1.638959800065E12	radial	1000.0	0.001	0.7065789473684212
136.0	1.638959800122E12	radial	15.848931924611136	0.0039810717055349725	0.7207400445558341
118.0	1.638959800803E12	dot	63.095734448019314	0.0039810717055349725	0.6722946254525202
140.0	1.638959802065E12	radial	63.095734448019314	0.0039810717055349725	0.7704991645781121
128.0	1.638959811014E12	dot	15.848931924611136	0.25118864315095807	0.7256648565859093
142.0	1.638959814563E12	radial	15.848931924611136	0.25118864315095807	0.7560902255639098
139.0	1.638959835026E12	polynomial	15.848931924611136	0.0039810717055349725	0.7307943469785576
143.0	1.638959850644E12	polynomial	15.848931924611136	0.25118864315095807	0.7239835700362016
124.0	1.638959860754E12	polynomial	251.1886431509581	0.0039810717055349725	0.6797333611807296
126.0	1.638959864651E12	polynomial	251.1886431509581	0.25118864315095807	0.6411104149262046
129.0	1.63895986684E12	dot	1000.0	0.001	0.6618769145084935
148.0	1.638959868766E12	radial	1000.0	0.001	0.7066785018100807
130.0	1.63895987168E12	polynomial	251.1886431509581	0.001	0.6352951824004455
