# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	rounds	booster	sample_type	normalize_type	learning_type	max_depth	feature_selector	top_k	updater	AUC
169.0	16341.0	1.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
178.0	9743.0	51.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
174.0	12586.0	70.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
179.0	10840.0	11.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
180.0	10460.0	60.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
177.0	14664.0	80.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
181.0	11317.0	70.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
183.0	10018.0	90.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
185.0	9767.0	60.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
182.0	14514.0	80.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
186.0	11328.0	11.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
188.0	10658.0	80.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
184.0	13799.0	51.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
187.0	12219.0	60.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
189.0	11034.0	21.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
190.0	9611.0	70.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
193.0	11011.0	100.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
192.0	11613.0	80.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
194.0	10141.0	70.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
191.0	14298.0	90.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
